state,race_eth,year,demVote,repVote,pop,turnout
Louisiana,Hispanic,2004,0.446469233372773,0.541461760748437,67007,0.532245261869101
Louisiana,Hispanic,2012,0.484628844821974,0.494825011615212,93959,0.485595390681288
Louisiana,Other,2004,0.381676800934798,0.601893895933964,67705,0.476873242151053
Louisiana,Other,2012,0.466648781046168,0.509475152514504,93839,0.477290953907245
Louisiana,White,2004,0.235063706074651,0.754882853292401,2084584,0.6313393615682
Louisiana,White,2012,0.133118164094563,0.848441149712687,2153179,0.583939797787286
Maine,Black,2004,0.87996510157407,0.0988340819883565,3501,0.667080790405823
Maine,Black,2012,0.95620036193148,0.0242351881821898,5297,0.710531431407568
Maine,Hispanic,2004,0.632561807532739,0.343204522469169,5470,0.62927049769351
Maine,Hispanic,2012,0.747025406231195,0.215032686043323,11090,0.598408028561002
Maine,Other,2004,0.565921365710436,0.391174338936623,18312,0.604185634353696
Maine,Other,2012,0.666914061350986,0.294238498809318,24516,0.514529435351071
Maine,White,2004,0.533696114400903,0.448205814673352,954229,0.758634031676328
Maine,White,2012,0.55687643976896,0.415909024764563,1003310,0.687888854145395
Maryland,Black,2004,0.870055507507048,0.117695949495778,1027518,0.584726414502242
Maryland,Black,2012,0.963194274474998,0.0220699474739369,1194093,0.689768852346967
Maryland,Hispanic,2004,0.612945397629776,0.373752551030105,99547,0.53605820538251
Maryland,Hispanic,2012,0.711350371993969,0.260211908459695,164832,0.572334315312465
Maryland,Other,2004,0.587283716081681,0.395295990466978,174661,0.508533463725886
Maryland,Other,2012,0.678062152598561,0.291855283562794,264330,0.50879512100259
Maryland,White,2004,0.442226283507153,0.546904340829936,2450551,0.670737778365231
Maryland,White,2012,0.438837513814621,0.537747482471095,2514086,0.658231269568707
Massachusetts,Black,2004,0.892047075234385,0.0934591911534815,195805,0.601009672923102
Massachusetts,Black,2012,0.966518202875378,0.0213933270787922,248059,0.69362959976794
Massachusetts,Hispanic,2004,0.677265450888157,0.305425182331992,209034,0.475222468600116
Massachusetts,Hispanic,2012,0.767539235477555,0.209849541799924,335821,0.535928475781965
Massachusetts,Other,2004,0.642633949512688,0.33553236336419,154757,0.51081716947414
Massachusetts,Other,2012,0.698851180588989,0.276004427893493,270447,0.497501700990879
Massachusetts,White,2004,0.604186497651085,0.383457245218103,3762991,0.695275942148537
Massachusetts,White,2012,0.568142419055817,0.413950015288909,3947553,0.67920102861348
Michigan,Black,2004,0.896090241520027,0.0935556928676293,917637,0.653629267020326
Michigan,Black,2012,0.95968806213332,0.0313656482309509,1003630,0.670012525669399
Michigan,Hispanic,2004,0.599902582060368,0.388559637116555,174733,0.534657787200299
Michigan,Hispanic,2012,0.66307642466661,0.319603859462824,213266,0.461140029214921
Michigan,Other,2004,0.598174618396451,0.387941854129146,188251,0.551170085556748
Michigan,Other,2012,0.613653767803779,0.366909419102357,244677,0.555578399096984
Michigan,White,2004,0.451132671243758,0.539567057810029,5772197,0.700301275143679
Michigan,White,2012,0.461264044222569,0.524374007557645,5894605,0.651203699483047
Minnesota,Black,2004,0.902824070140973,0.082906278676032,97864,0.754383597174464
Minnesota,Black,2012,0.954867774120667,0.0284126150809502,163055,0.73984707480283
Minnesota,Hispanic,2004,0.637967017297451,0.345715347067621,63184,0.655241669678537
Minnesota,Hispanic,2012,0.681837697559528,0.288877409639569,83535,0.579356596540814
Minnesota,Other,2004,0.642256269138631,0.334687406692577,130611,0.641976552003634
Minnesota,Other,2012,0.644218303923822,0.321724417794473,198314,0.633986693091317
Minnesota,White,2004,0.493702222714663,0.493740986198944,3280678,0.801453240363758
Minnesota,White,2012,0.49851636025948,0.477843411958271,3476699,0.759858775910171
Mississippi,Black,2004,0.83905089308655,0.152173814799809,699287,0.529371436160503
Mississippi,Black,2012,0.93195239707386,0.0612171831710903,793396,0.608739841092905
Mississippi,Hispanic,2004,0.38072321639296,0.610513222325552,17449,0.418827096586454
Mississippi,Hispanic,2012,0.50007578683132,0.485542656359662,31167,0.415065933397395
Mississippi,Other,2004,0.318932506631231,0.669794599778622,20954,0.424043174965608
Mississippi,Other,2012,0.460236661497616,0.525371906641893,32197,0.467050217642363
Mississippi,White,2004,0.185219098837998,0.807108034624025,1305289,0.586834733273124
Mississippi,White,2012,0.128385462893982,0.861044904117471,1347111,0.575036703834171
Missouri,Black,2004,0.8745968414511,0.118904047509566,420514,0.651215061379761
Missouri,Black,2012,0.942839041593047,0.0434903565153591,492785,0.655423169301397
Missouri,Hispanic,2004,0.550528078290781,0.44267624700415,70082,0.523766891035754
Missouri,Hispanic,2012,0.638103488813167,0.336461319547547,96517,0.487381097096571
Missouri,Other,2004,0.458575479175623,0.53366323434101,86187,0.517930652282181
Missouri,Other,2012,0.627977510206923,0.34384510580509,125920,0.507847510592303
Missouri,White,2004,0.412002188170962,0.582062071741699,3537010,0.671802858256208
Missouri,White,2012,0.364465011027065,0.614056310036702,3787956,0.615032903049877
Montana,Black,2004,0.853931151160504,0.120634672786213,1685,0.581062357355655
Montana,Black,2012,0.918598065380812,0.0621400685892306,1661,0.600709397986741
Montana,Hispanic,2004,0.5439802948757,0.423140224376756,10686,0.527979154153611
Montana,Hispanic,2012,0.636289744562666,0.327946266990749,18743,0.478251028660629
Montana,Other,2004,0.410091000088879,0.523609490448225,47198,0.450341744830805
Montana,Other,2012,0.544782775248086,0.416712851657558,61733,0.459547937427646
Montana,White,2004,0.381211904800806,0.597365824550915,628144,0.672725832518412
Montana,White,2012,0.402919410356923,0.567304136796963,696941,0.640159052316952
Nebraska,Black,2004,0.854564297187845,0.129568454253668,41222,0.578349991778443
Nebraska,Black,2012,0.901949461404573,0.0834656831313914,53970,0.609803104183658
Nebraska,Hispanic,2004,0.506598991689383,0.474737803797123,41743,0.460814431217243
Nebraska,Hispanic,2012,0.590216949216331,0.382885429735298,62534,0.385066185883496
Nebraska,Other,2004,0.383607675560526,0.589645145122701,28831,0.434507512717979
Nebraska,Other,2012,0.520437265433861,0.449215321923316,33790,0.475244243809276
Nebraska,White,2004,0.303639039586732,0.68256094924527,1110386,0.6507486527215
