fips,X,race_eth,edu5,age4,SEX,Freq,sex,state,postal,GESTCEN,census.region,nate.subregion,nate.region
2,2042,Black,col,3,1,282,Male,Alaska,AK,94,west,interior,west
2,4592,Other,nohs,1,2,3365,Female,Alaska,AK,94,west,interior,west
2,7142,Black,col,4,2,428,Female,Alaska,AK,94,west,interior,west
2,7346,Black,hs,4,2,0,Female,Alaska,AK,94,west,interior,west
2,1277,Hispanic,hs,2,1,2051,Male,Alaska,AK,94,west,interior,west
2,104,Other,col,1,1,1213,Male,Alaska,AK,94,west,interior,west
2,6377,Hispanic,hs,3,2,715,Female,Alaska,AK,94,west,interior,west
2,6581,Hispanic,nohs,3,2,543,Female,Alaska,AK,94,west,interior,west
2,1685,Hispanic,postgrad,2,1,266,Male,Alaska,AK,94,west,interior,west
2,4439,White,hs,1,2,9616,Female,Alaska,AK,94,west,interior,west
2,5612,Other,nohs,2,2,1463,Female,Alaska,AK,94,west,interior,west
2,2093,Hispanic,col,3,1,308,Male,Alaska,AK,94,west,interior,west
2,2297,Hispanic,hs,3,1,1205,Male,Alaska,AK,94,west,interior,west
2,4847,White,postgrad,1,2,2668,Female,Alaska,AK,94,west,interior,west
2,7397,Hispanic,hs,4,2,0,Female,Alaska,AK,94,west,interior,west
2,1328,Other,hs,2,1,9178,Male,Alaska,AK,94,west,interior,west
2,1532,Other,nohs,2,1,1865,Male,Alaska,AK,94,west,interior,west
2,6428,Other,hs,3,2,6492,Female,Alaska,AK,94,west,interior,west
2,6632,Other,nohs,3,2,2807,Female,Alaska,AK,94,west,interior,west
2,563,White,nohs,1,1,5836,Male,Alaska,AK,94,west,interior,west
2,3113,Hispanic,col,4,1,0,Male,Alaska,AK,94,west,interior,west
2,7040,Other,somecol,3,2,6159,Female,Alaska,AK,94,west,interior,west
2,2144,Other,col,3,1,1753,Male,Alaska,AK,94,west,interior,west
2,3521,Hispanic,nohs,4,1,188,Male,Alaska,AK,94,west,interior,west
2,6071,White,somecol,2,2,16875,Female,Alaska,AK,94,west,interior,west
2,2552,Other,nohs,3,1,3555,Male,Alaska,AK,94,west,interior,west
2,5102,Black,col,2,2,263,Female,Alaska,AK,94,west,interior,west
2,410,Black,nohs,1,1,35,Male,Alaska,AK,94,west,interior,west
2,6479,White,hs,3,2,11294,Female,Alaska,AK,94,west,interior,west
2,5510,Black,nohs,2,2,0,Female,Alaska,AK,94,west,interior,west
2,614,Black,postgrad,1,1,0,Male,Alaska,AK,94,west,interior,west
2,3164,Other,col,4,1,144,Male,Alaska,AK,94,west,interior,west
2,5714,Black,postgrad,2,2,289,Female,Alaska,AK,94,west,interior,west
2,2399,White,hs,3,1,16780,Male,Alaska,AK,94,west,interior,west
2,3572,Other,nohs,4,1,2196,Male,Alaska,AK,94,west,interior,west
2,3776,Other,postgrad,4,1,170,Male,Alaska,AK,94,west,interior,west
2,2603,White,nohs,3,1,2813,Male,Alaska,AK,94,west,interior,west
2,257,Hispanic,hs,1,1,2454,Male,Alaska,AK,94,west,interior,west
2,4184,Other,col,1,2,638,Female,Alaska,AK,94,west,interior,west
2,6734,Black,postgrad,3,2,311,Female,Alaska,AK,94,west,interior,west
2,7907,White,postgrad,4,2,4104,Female,Alaska,AK,94,west,interior,west
2,665,Hispanic,postgrad,1,1,129,Male,Alaska,AK,94,west,interior,west
2,3215,White,col,4,1,4019,Male,Alaska,AK,94,west,interior,west
2,5765,Hispanic,postgrad,2,2,0,Female,Alaska,AK,94,west,interior,west
2,1073,Hispanic,col,2,1,220,Male,Alaska,AK,94,west,interior,west
2,5000,Other,somecol,1,2,5650,Female,Alaska,AK,94,west,interior,west
2,7550,Black,nohs,4,2,17,Female,Alaska,AK,94,west,interior,west
2,2654,Black,postgrad,3,1,686,Male,Alaska,AK,94,west,interior,west
2,308,Other,hs,1,1,6182,Male,Alaska,AK,94,west,interior,west
2,4235,White,col,1,2,4784,Female,Alaska,AK,94,west,interior,west
2,5408,Other,hs,2,2,6799,Female,Alaska,AK,94,west,interior,west
2,7958,Black,somecol,4,2,0,Female,Alaska,AK,94,west,interior,west
2,4643,White,nohs,1,2,2245,Female,Alaska,AK,94,west,interior,west
2,7193,Hispanic,col,4,2,91,Female,Alaska,AK,94,west,interior,west
2,3674,Black,postgrad,4,1,0,Male,Alaska,AK,94,west,interior,west
2,2501,Hispanic,nohs,3,1,279,Male,Alaska,AK,94,west,interior,west
2,5051,White,somecol,1,2,17065,Female,Alaska,AK,94,west,interior,west
2,2705,Hispanic,postgrad,3,1,307,Male,Alaska,AK,94,west,interior,west
2,4337,Hispanic,hs,1,2,1450,Female,Alaska,AK,94,west,interior,west
2,1736,Other,postgrad,2,1,270,Male,Alaska,AK,94,west,interior,west
2,4490,Black,nohs,1,2,0,Female,Alaska,AK,94,west,interior,west
2,5663,White,nohs,2,2,2429,Female,Alaska,AK,94,west,interior,west
2,8009,Hispanic,somecol,4,2,0,Female,Alaska,AK,94,west,interior,west
2,4694,Black,postgrad,1,2,0,Female,Alaska,AK,94,west,interior,west
2,7244,Other,col,4,2,249,Female,Alaska,AK,94,west,interior,west
2,3725,Hispanic,postgrad,4,1,0,Male,Alaska,AK,94,west,interior,west
2,1379,White,hs,2,1,10106,Male,Alaska,AK,94,west,interior,west
2,7652,Other,nohs,4,2,3869,Female,Alaska,AK,94,west,interior,west
2,2756,Other,postgrad,3,1,362,Male,Alaska,AK,94,west,interior,west
2,3929,Hispanic,somecol,4,1,205,Male,Alaska,AK,94,west,interior,west
2,8060,Other,somecol,4,2,1291,Female,Alaska,AK,94,west,interior,west
2,2450,Black,nohs,3,1,224,Male,Alaska,AK,94,west,interior,west
2,6887,White,postgrad,3,2,11383,Female,Alaska,AK,94,west,interior,west
2,3827,White,postgrad,4,1,2981,Male,Alaska,AK,94,west,interior,west
2,4286,Black,hs,1,2,653,Female,Alaska,AK,94,west,interior,west
2,6122,Black,col,3,2,1362,Female,Alaska,AK,94,west,interior,west
2,7754,Black,postgrad,4,2,0,Female,Alaska,AK,94,west,interior,west
2,1430,Black,nohs,2,1,204,Male,Alaska,AK,94,west,interior,west
